 Temperature cover,temperature fluid,Relative humidity,condensation,hum_ratio,minute time 
274.154,279.342,0.541825,0.00320482,0,1
274.072,279.042,0.563409,0.00326434,0,2
273.995,278.759,0.585419,0.00332641,0,3
273.924,278.493,0.607839,0.00339087,0,4
273.857,278.242,0.630652,0.0034576,0,5
273.795,278.006,0.653843,0.00352647,0,6
273.737,277.782,0.677397,0.00359737,0,7
273.682,277.572,0.7013,0.0036702,0,8
273.631,277.373,0.725537,0.00374486,0,9
273.584,277.185,0.750094,0.00382126,0,10
273.539,277.007,0.774959,0.00389933,0,11
273.497,276.838,0.787608,0.00391638,0.00743552,12
273.458,276.679,0.794242,0.00390517,0.0110536,13
273.421,276.528,0.800608,0.00389469,0.0112506,14
273.387,276.385,0.806716,0.00388487,0.0114367,15
273.354,276.25,0.812574,0.00387566,0.0116118,16
273.323,276.121,0.818194,0.00386703,0.0117765,17
273.295,275.999,0.823586,0.00385892,0.0119317,18
273.268,275.883,0.828759,0.0038513,0.0120778,19
273.242,275.773,0.833722,0.00384415,0.0122156,20
273.218,275.669,0.838484,0.00383741,0.0123456,21
273.196,275.569,0.843054,0.00383108,0.0124682,22
273.174,275.475,0.84744,0.00382511,0.0125839,23
273.154,275.385,0.85165,0.00381949,0.0126932,24
273.135,275.299,0.855691,0.0038142,0.0127964,25
273.117,275.218,0.859572,0.0038092,0.012894,26
273.1,275.14,0.863299,0.00380448,0.0129863,27
273.084,275.066,0.866879,0.00380003,0.0130736,28
273.069,274.995,0.870319,0.00379583,0.0131562,29
273.055,274.927,0.873624,0.00379185,0.0132343,30
273.041,274.863,0.876801,0.00378809,0.0133083,31
273.028,274.801,0.879855,0.00378454,0.0133784,32
273.016,274.742,0.882793,0.00378117,0.0134448,33
273.005,274.686,0.885619,0.00377799,0.0135076,34
272.994,274.632,0.888339,0.00377497,0.0135672,35
272.983,274.581,0.890957,0.00377211,0.0136235,36
272.974,274.532,0.893478,0.0037694,0.013677,37
272.964,274.484,0.895907,0.00376683,0.0137275,38
272.955,274.439,0.898248,0.00376439,0.0137754,39
272.947,274.396,0.900506,0.00376208,0.0138206,40
272.939,274.354,0.902685,0.00375989,0.0138633,41
272.932,274.314,0.904788,0.00375782,0.0139034,42
272.924,274.276,0.906822,0.00375585,0.0139411,43
272.918,274.239,0.90879,0.00375399,0.0139759,44
272.911,274.203,0.9107,0.00375224,0.0140072,45
272.905,274.169,0.912562,0.00375061,0.0140329,46
272.9,274.136,0.914352,0.00374901,0.0140704,47
272.894,274.104,0.916075,0.00374745,0.0141052,48
272.888,274.073,0.917734,0.00374594,0.0141379,49
272.883,274.044,0.919333,0.00374448,0.014169,50
272.878,274.015,0.920874,0.00374308,0.0141987,51
272.873,273.988,0.922359,0.00374173,0.0142272,52
272.868,273.962,0.92379,0.00374043,0.0142546,53
272.864,273.936,0.925169,0.00373919,0.0142808,54
272.859,273.912,0.926499,0.00373799,0.0143061,55
272.855,273.889,0.92778,0.00373684,0.0143303,56
