 Temperature cover,temperature fluid,Relative humidity,condensation,hum_ratio,minute time 
276.615,277.227,0.800561,0.00409219,0,1
276.528,276.746,0.830941,0.00410621,0,2
276.491,276.499,0.846735,0.00411195,0,3
276.475,276.372,0.854976,0.00411484,0,4
276.465,276.307,0.859245,0.00411634,0,5
276.459,276.273,0.861446,0.00411712,0,6
276.456,276.256,0.862577,0.00411752,0,7
276.455,276.247,0.863158,0.00411773,0,8
276.454,276.243,0.863456,0.00411783,0,9
276.454,276.24,0.863609,0.00411789,0,10
276.454,276.239,0.863688,0.00411791,0,11
276.453,276.238,0.863728,0.00411793,0,12
276.453,276.238,0.863749,0.00411794,0,13
276.453,276.238,0.863759,0.00411794,0,14
276.453,276.238,0.863765,0.00411794,0,15
276.453,276.238,0.863768,0.00411794,0,16
276.453,276.238,0.863769,0.00411794,0,17
276.453,276.238,0.86377,0.00411794,0,18
276.453,276.238,0.86377,0.00411794,0,19
276.453,276.238,0.86377,0.00411794,0,20
276.453,276.238,0.86377,0.00411794,0,21
276.453,276.238,0.86377,0.00411794,0,22
276.453,276.238,0.863771,0.00411794,0,23
276.453,276.238,0.863771,0.00411794,0,24
276.453,276.238,0.863771,0.00411794,0,25
276.453,276.238,0.863771,0.00411794,0,26
276.453,276.238,0.863771,0.00411794,0,27
276.453,276.238,0.863771,0.00411794,0,28
276.453,276.238,0.863771,0.00411794,0,29
276.453,276.238,0.863771,0.00411794,0,30
276.453,276.238,0.863771,0.00411794,0,31
276.453,276.238,0.863771,0.00411794,0,32
276.453,276.238,0.863771,0.00411794,0,33
276.453,276.238,0.863771,0.00411794,0,34
276.453,276.238,0.863771,0.00411794,0,35
276.453,276.238,0.863771,0.00411794,0,36
276.453,276.238,0.863771,0.00411794,0,37
276.453,276.238,0.863771,0.00411794,0,38
276.453,276.238,0.863771,0.00411794,0,39
276.453,276.238,0.863771,0.00411794,0,40
276.453,276.238,0.863771,0.00411794,0,41
276.453,276.238,0.863771,0.00411794,0,42
276.453,276.238,0.863771,0.00411794,0,43
276.453,276.238,0.863771,0.00411794,0,44
276.453,276.238,0.863771,0.00411794,0,45
276.453,276.238,0.863771,0.00411794,0,46
276.453,276.238,0.863771,0.00411794,0,47
276.453,276.238,0.863771,0.00411794,0,48
276.453,276.238,0.863771,0.00411794,0,49
276.453,276.238,0.863771,0.00411794,0,50
276.453,276.238,0.863771,0.00411794,0,51
276.453,276.238,0.863771,0.00411794,0,52
276.453,276.238,0.863771,0.00411794,0,53
276.453,276.238,0.863771,0.00411794,0,54
276.453,276.238,0.863771,0.00411794,0,55
276.453,276.238,0.863771,0.00411794,0,56
276.453,276.238,0.863771,0.00411794,0,57
276.453,276.238,0.863771,0.00411794,0,58
276.453,276.238,0.863771,0.00411794,0,59
276.453,276.238,0.863771,0.00411794,0,60
276.453,276.238,0.863771,0.00411794,0,61
276.453,276.238,0.863771,0.00411794,0,62
276.453,276.238,0.863771,0.00411794,0,63
276.453,276.238,0.863771,0.00411794,0,64
276.453,276.238,0.863771,0.00411794,0,65
276.453,276.238,0.863771,0.00411794,0,66
276.453,276.238,0.863771,0.00411794,0,67
276.453,276.238,0.863771,0.00411794,0,68
276.453,276.238,0.863771,0.00411794,0,69
276.453,276.238,0.863771,0.00411794,0,70
276.453,276.238,0.863771,0.00411794,0,71
276.453,276.238,0.863771,0.00411794,0,72
